code,description,last_updated
A00.0,"Cholera Due To Vibrio Cholerae 01, Biovar Cholerae",2025-12-02T06:15:32+00:00
A00.1,"Cholera Due To Vibrio Cholerae 01, Biovar Eltor",2025-12-02T06:15:32+00:00
A00.9,"Cholera, Unspecified",2025-12-02T06:15:32+00:00
A01.00,"Typhoid Fever, Unspecified",2025-12-02T06:15:32+00:00
A01.01,Typhoid Meningitis,2025-12-02T06:15:32+00:00
A01.02,Typhoid Fever With Heart Involvement,2025-12-02T06:15:32+00:00
B01.9,Varicella Without Complication,2025-12-02T06:15:32+00:00
B02.20,"Zoster Encephalitis, Unspecified",2025-12-02T06:15:32+00:00
C50.911,"Malignant Neoplasm Of Right Breast, Unspecified",2025-12-02T06:15:32+00:00
E11.9,Type 2 Diabetes Mellitus Without Complications,2025-12-02T06:15:32+00:00
Z99.3,Dependence On Wheelchair,2025-12-02T06:15:32+00:00
